id,grupa,an
MIAO1,0,ANSPEC000
MIAO2,0,ANSPEC001
MISS11,1,ANSPEC002
MISS12,2,ANSPEC002
MISS21,1,ANSPEC003
MISS22,2,ANSPEC003
MLC1,0,ANSPEC004
MLC2,0,ANSPEC005
MSAI1,0,ANSPEC006
MSAI2,0,ANSPEC007
MSD1,0,ANSPEC008
MSD2,0,ANSPEC009
MSI1,0,ANSPEC010
MSI2,0,ANSPEC011
I1A1,1,ANSPEC012
I1A2,2,ANSPEC012
I1A3,3,ANSPEC012
I1A4,4,ANSPEC012
I1A5,5,ANSPEC012
I1B1,1,ANSPEC013
I1B2,2,ANSPEC013
I1B3,3,ANSPEC013
I1B4,4,ANSPEC013
I1E1,1,ANSPEC014
I1E2,2,ANSPEC014
I1E3,3,ANSPEC014
I1X1,1,ANSPEC015
I1X2,2,ANSPEC015
I1X3,3,ANSPEC015
I1X4,4,ANSPEC015
I2A1,1,ANSPEC016
I2A2,2,ANSPEC016
I2A3,3,ANSPEC016
I2A4,4,ANSPEC016
I2A5,5,ANSPEC016
I2B1,1,ANSPEC017
I2B2,2,ANSPEC017
I2B3,3,ANSPEC017
I2B4,4,ANSPEC017
I2E1,1,ANSPEC018
I2E2,2,ANSPEC018
I2E3,3,ANSPEC018
I2X1,1,ANSPEC019
I2X2,2,ANSPEC019
I2X3,3,ANSPEC019
I2X4,4,ANSPEC019
I3A1,1,ANSPEC020
I3A2,2,ANSPEC020
I3A3,3,ANSPEC020
I3A4,4,ANSPEC020
I3A5,5,ANSPEC020
I3B1,1,ANSPEC021
I3B2,2,ANSPEC021
I3B3,3,ANSPEC021
I3B4,4,ANSPEC021
I3E1,1,ANSPEC022
I3E2,2,ANSPEC022
I3E3,3,ANSPEC022
I3X,0,ANSPEC023
