materie,an
MAT000,ANSPEC018
MAT001,ANSPEC018
MAT002,ANSPEC014
MAT003,ANSPEC014
MAT004,ANSPEC014
MAT005,ANSPEC014
MAT006,ANSPEC000
MAT006,ANSPEC008
MAT007,ANSPEC000
MAT007,ANSPEC008
MAT008,ANSPEC020
MAT008,ANSPEC021
MAT008,ANSPEC022
MAT008,ANSPEC023
MAT009,ANSPEC020
MAT009,ANSPEC021
MAT009,ANSPEC022
MAT009,ANSPEC023
MAT010,ANSPEC016
MAT010,ANSPEC017
MAT010,ANSPEC018
MAT010,ANSPEC019
MAT011,ANSPEC016
MAT011,ANSPEC017
MAT011,ANSPEC018
MAT011,ANSPEC019
MAT012,ANSPEC020
MAT012,ANSPEC021
MAT012,ANSPEC022
MAT012,ANSPEC023
MAT013,ANSPEC020
MAT013,ANSPEC021
MAT013,ANSPEC022
MAT013,ANSPEC023
MAT014,ANSPEC000
MAT014,ANSPEC002
MAT014,ANSPEC008
MAT015,ANSPEC000
MAT015,ANSPEC002
MAT015,ANSPEC008
MAT016,ANSPEC020
MAT016,ANSPEC021
MAT017,ANSPEC020
MAT017,ANSPEC021
MAT018,ANSPEC000
MAT018,ANSPEC002
MAT019,ANSPEC000
MAT019,ANSPEC002
MAT020,ANSPEC000
MAT020,ANSPEC002
MAT020,ANSPEC008
MAT021,ANSPEC000
MAT021,ANSPEC002
MAT022,ANSPEC000
MAT022,ANSPEC002
MAT023,ANSPEC000
MAT023,ANSPEC001
MAT023,ANSPEC002
MAT023,ANSPEC003
MAT023,ANSPEC004
MAT023,ANSPEC005
MAT023,ANSPEC006
MAT023,ANSPEC007
MAT023,ANSPEC008
MAT023,ANSPEC009
MAT023,ANSPEC010
MAT023,ANSPEC011
MAT023,ANSPEC012
MAT023,ANSPEC013
MAT023,ANSPEC014
MAT023,ANSPEC015
MAT023,ANSPEC016
MAT023,ANSPEC017
MAT023,ANSPEC018
MAT023,ANSPEC019
MAT023,ANSPEC020
MAT023,ANSPEC021
MAT023,ANSPEC022
MAT023,ANSPEC023
MAT024,ANSPEC006
MAT025,ANSPEC020
MAT025,ANSPEC021
MAT025,ANSPEC022
MAT025,ANSPEC023
MAT026,ANSPEC020
MAT026,ANSPEC021
MAT026,ANSPEC022
MAT026,ANSPEC023
MAT027,ANSPEC022
MAT028,ANSPEC022
MAT029,ANSPEC000
MAT029,ANSPEC001
MAT029,ANSPEC002
MAT029,ANSPEC003
MAT029,ANSPEC004
MAT029,ANSPEC005
MAT029,ANSPEC006
MAT029,ANSPEC007
MAT029,ANSPEC008
MAT029,ANSPEC009
MAT029,ANSPEC010
MAT029,ANSPEC011
MAT029,ANSPEC012
MAT029,ANSPEC013
MAT029,ANSPEC014
MAT029,ANSPEC015
MAT029,ANSPEC016
MAT029,ANSPEC017
MAT029,ANSPEC018
MAT029,ANSPEC019
MAT029,ANSPEC020
MAT029,ANSPEC021
MAT029,ANSPEC022
MAT029,ANSPEC023
MAT030,ANSPEC018
MAT031,ANSPEC018
MAT032,ANSPEC000
MAT032,ANSPEC004
MAT033,ANSPEC000
MAT033,ANSPEC004
MAT034,ANSPEC016
MAT034,ANSPEC017
MAT034,ANSPEC018
MAT034,ANSPEC019
MAT035,ANSPEC016
MAT035,ANSPEC017
MAT035,ANSPEC018
MAT035,ANSPEC019
MAT036,ANSPEC012
MAT036,ANSPEC013
MAT036,ANSPEC014
MAT036,ANSPEC015
MAT036,ANSPEC016
MAT036,ANSPEC017
MAT036,ANSPEC018
MAT037,ANSPEC014
MAT038,ANSPEC018
MAT039,ANSPEC001
MAT039,ANSPEC003
MAT039,ANSPEC005
MAT039,ANSPEC009
MAT039,ANSPEC011
MAT040,ANSPEC012
MAT040,ANSPEC013
MAT040,ANSPEC015
MAT041,ANSPEC012
MAT041,ANSPEC013
MAT041,ANSPEC015
MAT042,ANSPEC020
MAT042,ANSPEC021
MAT042,ANSPEC023
MAT043,ANSPEC020
MAT043,ANSPEC021
MAT043,ANSPEC023
MAT044,ANSPEC000
MAT044,ANSPEC001
MAT044,ANSPEC002
MAT044,ANSPEC003
MAT044,ANSPEC004
MAT044,ANSPEC005
MAT044,ANSPEC006
MAT044,ANSPEC007
MAT044,ANSPEC008
MAT044,ANSPEC009
MAT044,ANSPEC010
MAT044,ANSPEC011
MAT044,ANSPEC012
MAT044,ANSPEC013
MAT044,ANSPEC014
MAT044,ANSPEC015
MAT044,ANSPEC016
MAT044,ANSPEC017
MAT044,ANSPEC018
MAT044,ANSPEC019
MAT044,ANSPEC020
MAT044,ANSPEC021
MAT044,ANSPEC022
MAT044,ANSPEC023
MAT045,ANSPEC000
MAT045,ANSPEC001
MAT045,ANSPEC002
MAT045,ANSPEC003
MAT045,ANSPEC004
MAT045,ANSPEC005
MAT045,ANSPEC006
MAT045,ANSPEC007
MAT045,ANSPEC008
MAT045,ANSPEC009
MAT045,ANSPEC010
MAT045,ANSPEC011
MAT045,ANSPEC012
MAT045,ANSPEC013
MAT045,ANSPEC014
MAT045,ANSPEC015
MAT045,ANSPEC016
MAT045,ANSPEC017
MAT045,ANSPEC018
MAT045,ANSPEC019
MAT045,ANSPEC020
MAT045,ANSPEC021
MAT045,ANSPEC022
MAT045,ANSPEC023
MAT046,ANSPEC016
MAT046,ANSPEC017
MAT046,ANSPEC019
MAT047,ANSPEC016
MAT047,ANSPEC017
MAT047,ANSPEC019
MAT048,ANSPEC020
MAT048,ANSPEC021
MAT048,ANSPEC022
MAT048,ANSPEC023
MAT049,ANSPEC020
MAT049,ANSPEC021
MAT049,ANSPEC022
MAT049,ANSPEC023
MAT050,ANSPEC020
MAT050,ANSPEC021
MAT050,ANSPEC022
MAT050,ANSPEC023
MAT051,ANSPEC020
MAT051,ANSPEC021
MAT051,ANSPEC022
MAT051,ANSPEC023
MAT052,ANSPEC022
MAT053,ANSPEC016
MAT053,ANSPEC017
MAT053,ANSPEC018
MAT053,ANSPEC019
MAT054,ANSPEC016
MAT054,ANSPEC017
MAT054,ANSPEC018
MAT054,ANSPEC019
MAT055,ANSPEC020
MAT055,ANSPEC021
MAT055,ANSPEC022
MAT055,ANSPEC023
MAT056,ANSPEC020
MAT056,ANSPEC021
MAT056,ANSPEC022
MAT056,ANSPEC023
MAT057,ANSPEC012
MAT057,ANSPEC013
MAT058,ANSPEC016
MAT058,ANSPEC017
MAT059,ANSPEC004
MAT060,ANSPEC004
MAT061,ANSPEC020
MAT061,ANSPEC021
MAT061,ANSPEC022
MAT061,ANSPEC023
MAT062,ANSPEC020
MAT062,ANSPEC021
MAT062,ANSPEC022
MAT062,ANSPEC023
MAT063,ANSPEC008
MAT064,ANSPEC008
MAT065,ANSPEC022
MAT066,ANSPEC022
MAT067,ANSPEC014
MAT068,ANSPEC014
MAT069,ANSPEC014
MAT070,ANSPEC014
MAT071,ANSPEC012
MAT071,ANSPEC013
MAT071,ANSPEC014
MAT071,ANSPEC015
MAT072,ANSPEC012
MAT072,ANSPEC013
MAT072,ANSPEC014
MAT072,ANSPEC015
MAT073,ANSPEC000
MAT073,ANSPEC001
MAT073,ANSPEC002
MAT073,ANSPEC003
MAT073,ANSPEC004
MAT073,ANSPEC005
MAT073,ANSPEC006
MAT073,ANSPEC007
MAT073,ANSPEC008
MAT073,ANSPEC009
MAT073,ANSPEC010
MAT073,ANSPEC011
MAT073,ANSPEC012
MAT073,ANSPEC013
MAT073,ANSPEC014
MAT073,ANSPEC015
MAT073,ANSPEC016
MAT073,ANSPEC017
MAT073,ANSPEC018
MAT073,ANSPEC019
MAT073,ANSPEC020
MAT073,ANSPEC021
MAT073,ANSPEC022
MAT073,ANSPEC023
MAT074,ANSPEC016
MAT074,ANSPEC017
MAT075,ANSPEC016
MAT075,ANSPEC017
MAT076,ANSPEC020
MAT076,ANSPEC021
MAT076,ANSPEC022
MAT077,ANSPEC001
MAT077,ANSPEC003
MAT077,ANSPEC005
MAT077,ANSPEC007
MAT077,ANSPEC009
MAT077,ANSPEC011
MAT078,ANSPEC004
MAT079,ANSPEC004
MAT080,ANSPEC004
MAT081,ANSPEC004
MAT082,ANSPEC012
MAT082,ANSPEC013
MAT083,ANSPEC012
MAT083,ANSPEC013
MAT084,ANSPEC014
MAT085,ANSPEC014
MAT086,ANSPEC012
MAT086,ANSPEC013
MAT086,ANSPEC014
MAT086,ANSPEC015
MAT086,ANSPEC016
MAT086,ANSPEC017
MAT086,ANSPEC018
MAT086,ANSPEC019
MAT086,ANSPEC020
MAT086,ANSPEC021
MAT086,ANSPEC022
MAT086,ANSPEC023
MAT087,ANSPEC016
MAT087,ANSPEC017
MAT087,ANSPEC018
MAT087,ANSPEC019
MAT088,ANSPEC016
MAT088,ANSPEC017
MAT088,ANSPEC018
MAT088,ANSPEC019
MAT089,ANSPEC016
MAT089,ANSPEC017
MAT090,ANSPEC016
MAT090,ANSPEC017
MAT091,ANSPEC000
MAT091,ANSPEC002
MAT091,ANSPEC008
MAT092,ANSPEC000
MAT092,ANSPEC002
MAT092,ANSPEC008
MAT093,ANSPEC012
MAT093,ANSPEC013
MAT093,ANSPEC015
MAT094,ANSPEC012
MAT094,ANSPEC013
MAT094,ANSPEC015
MAT095,ANSPEC012
MAT095,ANSPEC013
MAT095,ANSPEC015
MAT096,ANSPEC012
MAT096,ANSPEC013
MAT096,ANSPEC015
MAT097,ANSPEC020
MAT097,ANSPEC021
MAT097,ANSPEC022
MAT097,ANSPEC023
MAT098,ANSPEC020
MAT098,ANSPEC021
MAT098,ANSPEC022
MAT098,ANSPEC023
MAT099,ANSPEC008
MAT099,ANSPEC010
MAT100,ANSPEC008
MAT100,ANSPEC010
MAT101,ANSPEC020
MAT101,ANSPEC021
MAT101,ANSPEC022
MAT101,ANSPEC023
MAT102,ANSPEC020
MAT102,ANSPEC021
MAT102,ANSPEC022
MAT102,ANSPEC023
MAT103,ANSPEC020
MAT103,ANSPEC021
MAT103,ANSPEC022
MAT103,ANSPEC023
MAT104,ANSPEC020
MAT104,ANSPEC021
MAT104,ANSPEC022
MAT104,ANSPEC023
MAT105,ANSPEC000
MAT105,ANSPEC001
MAT105,ANSPEC002
MAT105,ANSPEC003
MAT105,ANSPEC004
MAT105,ANSPEC005
MAT105,ANSPEC006
MAT105,ANSPEC007
MAT105,ANSPEC008
