profesor,materie
PART000,MAT089
PART001,MAT105
PART001,MAT091
PART001,MAT092
PART001,MAT026
PART001,MAT045
PART001,MAT044
PART001,MAT077
PART001,MAT134
PART001,MAT023
PART002,MAT089
PART003,MAT029
PART003,MAT045
PART003,MAT088
PART003,MAT044
PART003,MAT105
PART004,MAT093
PART005,MAT093
PART006,MAT058
PART006,MAT101
PART006,MAT038
PART006,MAT102
PART006,MAT105
PART006,MAT029
PART007,MAT083
PART007,MAT065
PART007,MAT016
PART007,MAT029
PART007,MAT045
PART008,MAT093
PART008,MAT119
PART008,MAT070
PART008,MAT045
PART009,MAT099
PART009,MAT100
PART009,MAT041
PART009,MAT120
PART009,MAT121
PART009,MAT076
PART009,MAT029
PART009,MAT045
PART009,MAT044
PART010,MAT025
PART011,MAT036
PART012,MAT029
PART012,MAT032
PART012,MAT077
PART012,MAT044
PART012,MAT045
PART012,MAT105
PART013,MAT131
PART013,MAT029
PART013,MAT045
PART013,MAT105
PART014,MAT025
PART015,MAT063
PART015,MAT103
PART015,MAT064
PART015,MAT130
PART015,MAT104
PART015,MAT045
PART015,MAT029
PART016,MAT083
PART017,MAT087
PART017,MAT088
PART017,MAT095
PART017,MAT004
PART017,MAT105
PART017,MAT044
PART017,MAT029
PART017,MAT096
PART017,MAT005
PART017,MAT045
PART018,MAT016
PART019,MAT021
PART019,MAT022
PART019,MAT076
PART019,MAT105
PART019,MAT029
PART019,MAT045
PART020,MAT124
PART020,MAT125
PART021,MAT074
PART021,MAT046
PART021,MAT089
PART021,MAT000
PART022,MAT032
PART022,MAT074
PART022,MAT029
PART022,MAT134
PART022,MAT045
PART023,MAT003
PART023,MAT041
PART024,MAT076
PART024,MAT045
PART024,MAT068
PART024,MAT093
PART024,MAT119
PART024,MAT029
PART025,MAT045
PART025,MAT044
PART025,MAT105
PART025,MAT042
PART025,MAT027
PART025,MAT043
PART026,MAT062
PART027,MAT095
PART027,MAT004
PART027,MAT096
PART027,MAT005
PART027,MAT029
PART027,MAT045
PART027,MAT086
PART028,MAT028
PART029,MAT010
PART029,MAT011
PART030,MAT090
PART030,MAT029
PART030,MAT105
PART030,MAT089
PART030,MAT045
PART031,MAT089
PART032,MAT016
PART033,MAT045
PART033,MAT044
PART033,MAT029
PART033,MAT105
PART034,MAT067
PART034,MAT094
PART034,MAT126
PART035,MAT077
PART035,MAT059
PART035,MAT078
PART036,MAT073
PART036,MAT034
